"ckId";"jId";"clicks";"landClicks";"orderValue"
"3179841163255356741";"1";"5";"com";"41.86"
"3179841163255356741";"2";"1";"com";"41.60"
"3179841872344390981";"1";"44";"com/others";"18.91"
"3179841872344390981";"2";"88";"com";"40.68"
"3179842917917262061";"1";"4";"com";"41.86"
"3179842917917262061";"2";"5";"com";"83.34"
"3179843405714817261";"1";"3";"com";"52.52"
"3179843405714817261";"2";"15";"com/others";"33.50"
"3179844622499192133";"1";"16";"com";"36.97"
"3179844622499192133";"2";"12";"com";"47.81"
"3179845829653444829";"1";"4";"com/de";"54.13"
"3179845829653444829";"2";"3";"com";"28.57"
"3179847237043755101";"1";"2";"com";"27.73"
"3179847237043755101";"2";"2";"com/others";"28.99"
"3179847329905652701";"1";"4";"com/others";"53.08"
"3179847329905652701";"2";"1";"com";"69.31"
"3179851182038335413";"1";"7";"com";"20.80"
"3179851182038335413";"2";"1";"com";"41.97"
"3179852505844561837";"1";"27";"com/de";"28.26"
"3179852505844561837";"2";"17";"com";"25.17"
"3179853108230495557";"1";"2";"com/others";"41.60"
"3179853108230495557";"2";"1";"com";"22.56"
"3179854707048841453";"1";"3";"com";"37.36"
"3179854707048841453";"2";"1";"com";"37.26"
"3179855245765260253";"1";"4";"com";"20.80"
"3179855245765260253";"2";"1";"com";"37.42"
"3179855571411017029";"1";"3";"com";"28.99"
"3179855571411017029";"2";"26";"com";"25.00"
"3179856416663934589";"1";"11";"com/others";"46.28"
"3179856416663934589";"2";"8";"com";"47.59"
"3179857784980112517";"1";"4";"com";"22.56"
"3179857784980112517";"2";"23";"com";"51.55"
"3179858246169016869";"1";"9";"com/others";"56.42"
"3179858246169016869";"2";"3";"com";"86.67"
"3179864049978447965";"1";"7";"com";"42.18"
"3179864049978447965";"2";"17";"com";"148.89"
"3179864645418629037";"1";"6";"com/others";"20.80"
"3179864645418629037";"2";"7";"com";"33.36"
"3179867097626853301";"1";"1";"com";"20.80"
"3179867097626853301";"2";"1";"com";"41.60"
"3179868246899688581";"1";"8";"com";"48.68"
"3179868246899688581";"2";"31";"com";"45.60"
"3179871966207154269";"1";"6";"com";"20.80"
"3179871966207154269";"2";"2";"com";"20.80"
"3179872605486192253";"1";"1";"com";"20.80"
"3179872605486192253";"2";"4";"com";"20.80"
"3179875327757267933";"1";"7";"com";"22.56"
"3179875327757267933";"2";"2";"com";"20.59"
"3179876891125354661";"1";"29";"com/others";"52.59"
"3179876891125354661";"2";"29";"com/others";"22.02"
"3179877185129287845";"1";"32";"com";"16.60"
"3179877185129287845";"2";"25";"com";"10.71"
"3179877447021640229";"1";"20";"com";"93.94"
"3179877447021640229";"2";"32";"com/others";"117.80"
"3179880730054374365";"1";"20";"com/others";"41.56"
"3179880730054374365";"2";"2";"com";"28.20"
"3179881568411849125";"1";"1";"com";"73.11"
"3179881568411849125";"2";"2";"com";"47.57"
"3179881770191435997";"1";"1";"com";"15.80"
"3179881770191435997";"2";"10";"com/others";"16.76"
"3179881944137601445";"1";"8";"com";"34.16"
"3179881944137601445";"2";"2";"com";"25.17"
"3179881977641711837";"1";"1";"com";"62.40"
"3179881977641711837";"2";"1";"com";"20.80"
"3179881984419692781";"1";"15";"com";"72.97"
"3179881984419692781";"2";"9";"com";"26.84"
"3179882702769754533";"1";"10";"com/others";"60.75"
"3179882702769754533";"2";"12";"com";"75.41"
"3179883515625880101";"1";"1";"com";"29.16"
"3179883515625880101";"2";"1";"com";"20.80"
"3179883845012963253";"1";"96";"com/others";"41.35"
"3179883845012963253";"2";"74";"com";"8.30"
