ckId;jId;clicks;orderValue
608;1;1;70.59
608;2;1;37.42
609;1;1;20.8
609;2;3;27.52
610;1;1;20.8
610;2;3;45.83
611;1;4;45.46
611;2;20;37.42
612;1;14;55.42
612;2;16;29.37
613;1;21;37.4
613;2;14;37.4
614;1;2;49.79
614;2;5;36.8
615;1;4;20.8
615;2;3;20.8
616;1;10;15.8
616;2;3;18.45
617;1;15;70.77
617;2;9;16.39
618;1;1;27.52
618;2;4;57.98
619;1;10;36.5
619;2;6;40.52
620;1;2;48.11
620;2;2;42.4
621;1;1;14.87
621;2;2;14.87
622;1;7;32.22
622;2;9;18.45
623;1;6;44.82
623;2;46;37.19
624;1;13;26.38
624;2;17;26.84
625;1;6;78.37
625;2;2;16.76
626;1;1;66.09
626;2;3;115.66
627;1;2;39.91
627;2;1;25.17
628;1;8;33.98
628;2;24;27.52
629;1;4;58.79
629;2;10;16.66
630;1;20;47.86
630;2;1;20.97
631;1;2;43.7
631;2;1;20.8
632;1;8;22.9
632;2;13;31.3
633;1;42;53.61
633;2;18;22.04
634;1;10;52.52
634;2;2;25.17
635;1;3;16.6
635;2;2;35.5
636;1;1;46.6
636;2;1;90.77
637;1;2;20.8
637;2;2;25.66
638;1;6;97.87
638;2;8;38.21
639;1;1;61.73
639;2;2;33.49
640;1;1;27.52
640;2;1;20.76
641;1;1;22.56
641;2;1;27.52
642;1;26;20.59
642;2;5;10.5
643;1;2;25.17
643;2;2;29.79
644;1;1;20.8
644;2;3;20.8
645;1;3;20.59
645;2;16;21.6
646;1;10;35.77
646;2;18;25.17
647;1;4;20.8
647;2;31;58.05
648;1;1;17.73
648;2;1;27.39
649;1;2;20.8
649;2;1;27.4
650;1;2;20.8
650;2;2;20.8
651;1;13;52.1
651;2;5;41.77
652;1;1;41.77
652;2;10;29.2
653;1;10;71.13
653;2;5;87.41
654;1;21;43.29
654;2;23;25.13
655;1;2;50.08
655;2;1;58.86
656;1;2;20.8
656;2;1;15.8
657;1;4;59.17
657;2;2;50.2
658;1;1;41.6
658;2;1;29.71
659;1;1;20.8
659;2;1;20.8
660;1;28;98.24
660;2;10;39.71
661;1;2;31.47
661;2;7;25.17
662;1;5;62.6
662;2;1;106.3
663;1;1;45.84
663;2;1;25.66
664;1;12;26.75
664;2;2;89.05
665;1;7;32.15
665;2;5;48.11
666;1;2;72.51
666;2;1;38.36
667;1;5;59.82
667;2;11;25.17
668;1;5;27.52
668;2;2;20.99
669;1;1;20.8
669;2;1;27.52
670;1;1;37.4
670;2;1;42.32
671;1;1;49.12
671;2;1;45.8
672;1;16;23.11
672;2;1;34.31
673;1;1;20.8
673;2;1;39.7
674;1;8;48.68
674;2;1;40.2
675;1;1;28.99
675;2;2;72.18
676;1;5;37.4
676;2;7;41.77
677;1;5;45.69
677;2;9;37.56
678;1;1;48.32
678;2;1;20.8
679;1;1;42.02
679;2;3;39.86
680;1;4;50.42
680;2;6;67.14
681;1;1;16.6
681;2;2;25.66
682;1;4;51.99
682;2;3;77.23
683;1;6;21.6
683;2;2;30.68
684;1;1;28.99
684;2;1;25.17
685;1;9;62.54
685;2;5;48.6
686;1;5;36.65
686;2;8;22.02
687;1;4;20.8
687;2;4;20.8
688;1;1;43.36
688;2;2;41.46
689;1;6;58.33
689;2;13;34.17
690;1;4;41.6
690;2;2;41.88
691;1;1;97.7
691;2;3;79.5
692;1;6;20.8
692;2;4;41.46
693;1;3;22.73
693;2;3;45.59
694;1;3;40.08
694;2;4;45.97
695;1;5;36.05
695;2;9;31.05
696;1;6;23.51
696;2;12;10.5
697;1;2;73
697;2;1;49.32
698;1;1;20.8
698;2;1;27.52
699;1;23;16.76
699;2;3;21.61
700;1;9;43.9
700;2;13;21
701;1;3;50.93
